id,name,description,category,price,currency,width,height,depth,material,color,stock,status,brand,image,tags
BS-001,Crédence carrelage metro,"Crédence adhésive effet carrelage métro blanc",backsplash,49.99,EUR,120,60,0.2,PVC adhésif,Blanc,88,available,GlassWall,https://example.com/bs002.jpg,"crédence,carrelage,adhésive"
LT-001,Réglette LED 60cm,"Réglette LED sous meuble, blanc chaud 3000K",lighting,34.99,EUR,60,2,3,Aluminium,Blanc,124,available,LightLine,https://example.com/lt001.jpg,"éclairage,LED,60cm"
LT-002,Spot LED encastrable,"Spot LED orientable avec driver, blanc neutre 4000K",lighting,18.99,EUR,8,4,8,Aluminium,Blanc,186,available,LightLine,https://example.com/lt002.jpg,"éclairage,LED,spot"
LT-003,Bandeau LED RGB,"Bandeau LED RGB + blanc avec télécommande, 3m",lighting,69.99,EUR,300,1,0.8,Silicone,Transparent,52,available,LightLine,https://example.com/lt003.jpg,"éclairage,LED,RGB,connecté"
DO-001,Porte laquée blanche,"Façade de meuble laquée brillante pour METOD 60x80",door,65.99,EUR,60,80,1.8,MDF laqué,Blanc brillant,156,available,FrontFace,https://example.com/do001.jpg,"façade,laqué,blanc"
DO-002,Porte effet bois chêne,"Façade décor chêne naturel pour meuble 60x80",door,42.99,EUR,60,80,1.8,Mélaminé,Chêne naturel,203,available,FrontFace,https://example.com/do002.jpg,"façade,bois,chêne"
DO-003,Porte noir mat,"Façade finition noir mat soft-touch pour meuble 60x80",door,58.99,EUR,60,80,1.8,MDF laqué,Noir mat,94,available,FrontFace,https://example.com/do003.jpg,"façade,noir,mat"
TC-001,Colonne four 60cm,"Colonne pour encastrement four + micro-ondes",tall_cabinet,789.99,EUR,60,200,58,Panneau mélaminé,Blanc,12,available,KitchenPro,https://example.com/tc001.jpg,"colonne,four,électroménager"
TC-002,Colonne rangement 4 portes,"Colonne haute 4 portes avec 6 étagères",tall_cabinet,899.99,EUR,60,200,58,MDF,Gris,8,available,KitchenPro,https://example.com/tc002.jpg,"colonne,rangement,4 portes"
AP-001,Four encastrable pyrolyse,"Four multifonction pyrolyse, classe A+, 71L",appliance,599.99,EUR,59.5,59.5,56.5,Email + Inox,Inox,15,available,CookMaster,https://example.com/ap001.jpg,"four,pyrolyse,encastrable"
AP-002,Micro-ondes grill 25L,"Micro-ondes avec fonction grill, 900W, inox",appliance,189.99,EUR,59.5,38.8,35,Inox,Inox,28,available,CookMaster,https://example.com/ap002.jpg,"micro-ondes,grill,encastrable"
AP-003,Plaque induction 4 foyers,"Plaque induction 4 zones modulables, commandes tactiles",appliance,449.99,EUR,59,5.1,52,Vitrocéramique noire,Noir,22,available,CookMaster,https://example.com/ap003.jpg,"plaque,induction,4 foyers"
AP-004,Hotte aspirante 90cm,"Hotte murale design, débit 600m³/h, LED",appliance,329.99,EUR,90,55,47,Inox + Verre,Inox et noir,19,available,CookMaster,https://example.com/ap004.jpg,"hotte,aspirante,90cm,LED"
AP-005,Lave-vaisselle 60cm,"Lave-vaisselle 13 couverts, A++, silence 44dB",appliance,499.99,EUR,59.8,81.5,55,Inox,Inox,16,available,CookMaster,https://example.com/ap005.jpg,"lave-vaisselle,encastrable,silencieux"
AP-006,Réfrigérateur encastrable,"Réfrigérateur combiné encastrable, 272L, A++",appliance,899.99,EUR,54,177.5,54.5,Email,Blanc,9,available,CookMaster,https://example.com/ap006.jpg,"réfrigérateur,encastrable,combiné"
HW-004,Rail suspension 200cm,"Rail de suspension aluminium pour meubles hauts",hardware,29.99,EUR,200,2,1.5,Aluminium,Aluminium,68,available,FixPro,https://example.com/hw004.jpg,"rail,suspension,200cm"
HW-005,Vérin porte relevante,"Mécanisme pour porte de meuble haut relevante",hardware,89.99,EUR,35,8,5,Acier,Gris,34,available,FixPro,https://example.com/hw005.jpg,"vérin,porte,relevante"
HW-006,Amortisseur tiroir x10,"Lot de 10 amortisseurs pour tiroirs coulissants",hardware,24.99,EUR,,,,,Plastique + Métal,Gris,112,available,FixPro,https://example.com/hw006.jpg,"amortisseur,tiroir"
AC-004,Barre magnétique couteaux,"Barre aimantée murale pour ranger les couteaux, 40cm",accessory,22.99,EUR,40,4,3,Acier inox,Inox,95,available,OrganizeIt,https://example.com/ac004.jpg,"rangement,magnétique,couteaux"
AC-005,Panier coulissant épices,"Panier coulissant chromé pour rangement épices",accessory,54.99,EUR,15,50,48,Acier chromé,Chrome,41,available,OrganizeIt,https://example.com/ac005.jpg,"rangement,épices,coulissant"
AC-006,Distributeur savon encastré,"Distributeur de savon à encastrer dans plan de travail",accessory,29.99,EUR,6.5,25,12,Inox + Plastique,Inox brossé,73,available,OrganizeIt,https://example.com/ac006.jpg,"savon,encastrable,inox"
BS-003,Crédence inox brossé,"Crédence en inox brossé anti-traces, épaisseur 1mm",backsplash,279.99,EUR,100,70,0.1,Inox 304,Inox brossé,14,available,GlassWall,https://example.com/bs003.jpg,"crédence,inox,premium"
BS-004,Crédence stratifié HPL,"Crédence stratifié haute pression, décor béton",backsplash,89.99,EUR,120,64,0.6,Stratifié HPL,Gris béton,32,available,GlassWall,https://example.com/bs004.jpg,"crédence,stratifié,béton"
DO-004,Porte vitrée cadre alu,"Façade vitrée avec cadre aluminium pour meuble 60x80",door,89.99,EUR,60,80,1.8,Verre + Alu,Transparent,48,available,FrontFace,https://example.com/do004.jpg,"façade,vitrée,aluminium"
DO-005,Porte push-to-open,"Façade avec système d'ouverture par pression",door,72.99,EUR,60,80,1.8,MDF laqué,Gris,67,available,FrontFace,https://example.com/do005.jpg,"façade,push,sans poignée"
